time	V(n001)	V(n003)
5.416599306931233e-04	0.000000e+00	-5.631524e-05
5.426364931931233e-04	0.000000e+00	-4.242059e-05
5.436130556931233e-04	0.000000e+00	-3.163638e-05
5.445896181931233e-04	0.000000e+00	-2.335959e-05
5.455661806931233e-04	0.000000e+00	-1.707393e-05
5.465427431931233e-04	0.000000e+00	-1.234865e-05
5.475193056931233e-04	0.000000e+00	-8.831634e-06
5.494724306931233e-04	0.000000e+00	-4.349587e-06
5.514255556931233e-04	0.000000e+00	-2.011955e-06
5.543552431931233e-04	0.000000e+00	-5.230762e-07
5.578959216848829e-04	0.000000e+00	-2.765194e-07
5.614366001766424e-04	0.000000e+00	-8.721062e-08
5.649772786684021e-04	0.000000e+00	4.485029e-08
5.685179571601617e-04	0.000000e+00	1.196633e-07
5.720586356519214e-04	0.000000e+00	1.372284e-07
5.755993141436809e-04	0.000000e+00	9.754555e-08
5.791399926354405e-04	0.000000e+00	6.148285e-10
6.000000000000001e-04	0.000000e+00	-1.150257e-12
6.000000459130409e-04	2.295652e-01	-1.320347e-10
6.000000918260816e-04	4.591304e-01	3.478940e-11
6.000001377391225e-04	6.886956e-01	4.993219e-10
6.000001836521632e-04	9.182608e-01	1.261563e-09
6.000002295652040e-04	1.147826e+00	2.321512e-09
6.000002754782448e-04	1.377391e+00	3.679170e-09
6.000003213912856e-04	1.606956e+00	5.334536e-09
6.000006294122274e-04	3.147061e+00	3.170845e-08
6.000010000000001e-04	5.000000e+00	8.708463e-08
6.000226793847035e-04	5.000000e+00	1.605008e-04
6.000443587694070e-04	5.000000e+00	5.957164e-04
6.000660381541104e-04	5.000000e+00	1.305734e-03
6.000877175388139e-04	5.000000e+00	2.290553e-03
6.001093969235173e-04	5.000000e+00	3.550174e-03
6.001310763082208e-04	5.000000e+00	5.084597e-03
6.001527556929242e-04	5.000000e+00	6.893822e-03
6.003045484446256e-04	5.000000e+00	2.566169e-02
6.005669411039853e-04	5.000000e+00	7.967681e-02
6.009471845231231e-04	5.000000e+00	1.976671e-01
6.014893430761209e-04	5.000000e+00	4.264721e-01
6.022148833494138e-04	5.000000e+00	8.024104e-01
6.031914458494138e-04	5.000000e+00	1.364543e+00
6.041680083494138e-04	5.000000e+00	1.934981e+00
6.051445708494138e-04	5.000000e+00	2.473570e+00
6.061211333494138e-04	5.000000e+00	2.955476e+00
6.070976958494138e-04	5.000000e+00	3.371020e+00
6.080742583494138e-04	5.000000e+00	3.719636e+00
6.090508208494138e-04	5.000000e+00	4.005857e+00
6.100273833494138e-04	5.000000e+00	4.236718e+00
6.110039458494138e-04	5.000000e+00	4.420132e+00
6.119805083494138e-04	5.000000e+00	4.563929e+00
6.129570708494138e-04	5.000000e+00	4.675322e+00
6.139336333494138e-04	5.000000e+00	4.760663e+00
6.149101958494138e-04	5.000000e+00	4.825364e+00
6.158867583494138e-04	5.000000e+00	4.873922e+00
6.168633208494138e-04	5.000000e+00	4.910005e+00
6.178398833494138e-04	5.000000e+00	4.936549e+00
6.188164458494138e-04	5.000000e+00	4.955878e+00
6.197930083494138e-04	5.000000e+00	4.969801e+00
6.207695708494138e-04	5.000000e+00	4.979716e+00
